產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
卡通199-動漫,悠久持有者-初戀,2017-12-28,動漫館-卡通199/熱血動作/悠久持有者-初戀 動漫館-卡通199/日本連載/悠久持有者-初戀 ,這裡是不死者們的結社「悠久持有者」的基地．仙境館。雪姬等人正悠哉地一邊泡著溫泉一邊談天。因為刀太前陣子沒頭沒腦地突然對雪姬告白一事，一行人不知不覺中開始談論起戀愛的話題。同時雪姬也回想起她遙遠的過去，在她成為不死者後不久後，與穿越時空來到過去的刀太相遇的往事…。,"高倉有加,松岡由貴",,http://mod.cht.com.tw/video/drama-details.php?id=458519,http://mod.cht.com.tw/img/iappic/458519.jpg,2017-10-06 21:56:42
卡通199-動漫,NANA,2017-12-28,動漫館-卡通199/青春浪漫/NANA ,第1話_奈奈收到男友章司傳來的好消息，他順利考上東京的美術大學，於是奈奈匆匆忙忙收拾行李趕赴東京，要在那裡找工作、定居下來。因為原本住在家鄉的小松奈奈與男友章司約定，如果章司順利考上東京的大學，奈奈就去東京，兩人不再分離兩地。而在火車上，奈奈巧遇一位與她同齡的漂亮女孩，兩人相談甚歡，原以為兩人的緣分在下車之後就結束，沒想到她們卻在意外的地方再度相逢。,"朴璐美,KAORI",,http://mod.cht.com.tw/video/drama-details.php?id=410499,http://mod.cht.com.tw/img/iappic/410499.jpg,2017-10-06 21:56:42
卡通199-動漫,火影疾風傳P4-6,2017-11-30,動漫館-卡通199/熱血動作/火影疾風傳P4-6 ,第363集【八尾對佐助】，為了與曉分頭捕捉尾獸，由佐助所率領的「鷹」在雷之國的雲雷峽與八尾殺人蜂正面對峙。除了雷遁之外，殺人蜂還能靈活操控七把刀，因此讓鷹一行人陷入苦戰。除此之外，佐助還因為尾獸交纏著查克拉的特殊攻擊，身負了瀕臨死亡的重傷。在一籌莫展的困境中，八尾終於顯露出全貌，然後依存在佐助體內的全新力量也因此甦醒…。,"鳴人,卡卡西",,http://mod.cht.com.tw/video/drama-details.php?id=372003,http://mod.cht.com.tw/img/iappic/372003.jpg,2017-10-06 21:56:42
卡通199-動漫,約會大作戰Ⅱ,2017-12-28,動漫館-卡通199/魔幻冒險/約會大作戰Ⅱ ,五河士道是一位擁有特殊體質的少年，為了拯救世界，必須與精靈約會且讓對方迷戀上自己，藉此封印其精靈之力。繼十香、狂三等精靈後，又陸續出現了其他新的精靈。士道該如何讓這些個性截然不同的精靈們迷戀上自己呢？而隨著精靈之力的封印，士道的生活又會出現什麼樣的變化呢？愛情與戰鬥交織的超人氣動畫第二季，隆重登場！,,,http://mod.cht.com.tw/video/drama-details.php?id=459601,http://mod.cht.com.tw/img/iappic/459601.jpg,2017-10-06 21:56:42
卡通199-動漫,BanG Dream,2017-12-28,動漫館-卡通199/青春浪漫/BanG Dream 動漫館-卡通199/日本連載/BanG Dream ,第14(OVA)話【 大玩特玩了!】，「好想去哪裡玩！」在PoPiPa的成員們聚在一起忙著寫暑假作業時，香澄突然提議道。在經過一番討論後一行人決定前往海邊。在香澄等人盡情地享受著夏日的氛圍，巧遇同樣來到海邊進行集訓的女子樂團Roselia的成員。在香澄的邀請下，兩個樂團的成員開始了沙灘排球賽。,,,http://mod.cht.com.tw/video/drama-details.php?id=455313,http://mod.cht.com.tw/img/iappic/455313.jpg,2017-10-06 21:56:42
卡通199-動漫,東京口食種√A,2018-04-26,動漫館-卡通199/魔幻冒險/東京口食種√A ,第12集【研】，青桐兵力撤退，在「安定區」的激戰正迎向終結。這個時候，擔心金木等人的董香急著要趕到「安定區」。人類與喰種，在各自的想法交錯中，即將崩塌的安定區店內，金木選擇的答案是…。,"花江夏樹,雨宮天,宮野真守,菅生隆之,浅沼晋太郎,梶 裕貴,小西克幸",,http://mod.cht.com.tw/video/drama-details.php?id=454621,http://mod.cht.com.tw/img/iappic/454621.jpg,2017-10-06 21:56:42
卡通199-動漫,火影忍者國語,2018-02-22,動漫館-卡通199/熱血動作/火影忍者國語 動漫館-卡通199/本週上架 ,第683集 【意外性第一】從阿修羅與因陀羅的時代開始，一直到無限月讀的發動，都是黑絕操控的計劃。從黑絕口中說出的忍者故事，都是為了讓母親輝夜復活的必經過程。鳴人隨即說出「忍者的歷史，不是只有你們而已」，為了將輝夜封印，鳴人對佐助提出了用「那種術」發動攻擊的作戰策略…。,"鳴人,卡卡西",,http://mod.cht.com.tw/video/drama-details.php?id=460875,http://mod.cht.com.tw/img/iappic/460875.jpg,2017-10-06 21:56:42
卡通199-動漫,偶像大師 灰姑娘女孩,2017-12-28,動漫館-卡通199/青春浪漫/偶像大師 灰姑娘女孩 ,第1集【誰上了南瓜馬車】，島村卯月是加入培訓班、夢想成為偶像的普通女孩。某天，346經紀公司的製作人出現在卯月面前，告知她成為三位灰姑娘企劃遞補選拔選出的成員之一。卯月雖然很開心，但礙於還有兩位人選尚未決定因此企劃無法執行。製作人雖然想找另一位偶像候補澀谷凜，但是凜卻對當偶像沒興趣而回絕……,"澀谷凜,島村卯月,本田未央",,http://mod.cht.com.tw/video/drama-details.php?id=428264,http://mod.cht.com.tw/img/iappic/428264.jpg,2017-10-06 21:56:42
卡通199-動漫,K RETURN OF KINGS,2017-11-30,動漫館-卡通199/科技未來/K RETURN OF KINGS ,第13集【Kings】，來到最深處的小白與貓兒，對上與石板連繫，力量強大無邊的比水流。另一頭，安娜與《吠舞羅》打開了地下通道。粉碎石板的計畫終於啟動，面對石板之力，小白等人能夠與之抗衡的－－。,伊佐那社,,http://mod.cht.com.tw/video/drama-details.php?id=424445,http://mod.cht.com.tw/img/iappic/424445.jpg,2017-10-06 21:56:42
卡通199-動漫,八犬傳,2017-12-28,動漫館-卡通199/魔幻冒險/八犬傳 ,第26集【命運】，信乃為了保護仁而被葉月砍傷，還被玉梓強迫喝下神秘的水，玉梓利用八顆明珠與八犬士召喚出伏姫，打算奪取伏姬的力量讓國家陷入災難。被困在玉梓的結界中、失去力量的八犬士完全無力阻止儀式進行。這時候，還有些許意識的信乃使盡僅剩的力量呼喚莊介的名字。此時昏迷中的莊介，也在夢中逐漸想起與信乃渡過的時光。信乃的呼喚能傳達到莊介耳中嗎？,"犬塚信乃,犬川莊介,濱路,村雨",,http://mod.cht.com.tw/video/drama-details.php?id=442550,http://mod.cht.com.tw/img/iappic/442550.jpg,2017-10-06 21:56:42
卡通199-動漫,火影疾風傳P1-3,2017-11-30,動漫館-卡通199/熱血動作/火影疾風傳P1-3 ,第291話【朋友】，鳴人一邊極力壓抑自己體內的九尾，一邊拼命的想把空的心喚回來，而其他的夥伴們，只能選擇袖手旁觀。另一方面，降土與阿斯瑪也到了必須做出最後了結的時刻了…,"鳴人,卡卡西",,http://mod.cht.com.tw/video/drama-details.php?id=365612,http://mod.cht.com.tw/img/iappic/365612.jpg,2017-10-06 21:56:42
卡通199-動漫,齊木楠雄的災難,2017-11-30,動漫館-卡通199/輕鬆幽默/齊木楠雄的災難 ,在楠雄面前擺出「驚奇goo~」姿勢的國春爸爸。那似乎是近來超人氣的魔術師的招牌動作。看到國春拿出來的一張相片之後，楠雄才發現原來超人氣魔術師就是蝶野雨綠跟他的助手麥可。正當心理佩服他們終於出人頭地的時候，楠雄收到了他們寄出的一封招待信。他們到底成長了多少呢？,齊木楠雄,,http://mod.cht.com.tw/video/drama-details.php?id=412928,http://mod.cht.com.tw/img/iappic/412928.jpg,2017-10-06 21:56:42
卡通199-動漫,火影忍者P2,2017-11-30,動漫館-卡通199/熱血動作/火影忍者P2 ,自來也是個不折不扣的老色鬼，因此也鬧出不少笑話。雖然如此，鳴人還是從自來也身上學到了不少東西。,"鳴人,佐助",,http://mod.cht.com.tw/video/drama-details.php?id=205705,http://mod.cht.com.tw/img/iappic/205705.jpg,2017-10-06 21:56:42
卡通199-動漫,長騎美眉,2017-12-28,動漫館-卡通199/輕鬆幽默/長騎美眉 ,運動神經不好，無論做什麼事都無法堅持的亞美。對某日偶然看到小巧可愛的折疊腳踏車一見鍾情，並開始和好朋友葵一起享受騎腳踏車的樂趣。她也因此結識了同所大學的單車同好。在憧憬著學姊們口中風景和美食的亞美，因而展開向自我挑戰的腳踏車運動。,"東山奈央,五十嵐裕美,大久保瑠美",,http://mod.cht.com.tw/video/drama-details.php?id=420966,http://mod.cht.com.tw/img/iappic/420966.jpg,2017-10-06 21:56:42
卡通199-動漫,ACCA13區監察課,2018-01-25,動漫館-卡通199/綜合其他/ACCA13區監察課 動漫館-卡通199/日本連載/ACCA13區監察課 動漫館-卡通199/本週上架 ,第7集【漂浮於夜霧中的真相】在多瓦區的甜點店巧遇國王陛下，吉恩與尼諾於是在衛兵環繞之中與陛下一同享用了甜點，但吉恩卻沒想到這件事，竟可能與莫芙接下來告訴自己的重大消息密切相關…！,"吉恩．歐塔斯,尼諾",,http://mod.cht.com.tw/video/drama-details.php?id=461757,http://mod.cht.com.tw/img/iappic/461757.jpg,2017-10-06 21:56:42
卡通199-動漫,疾走王子,2017-11-30,動漫館-卡通199/運動競技/疾走王子 ,第12集 【夏季尾聲通往遙遠的前方】南學園與西星學園的最後一戰開始了，雙方為了晉級決賽，延續夏天，在夏季尾聲奪得勝利，不顧一切全力以赴，而陸與櫻井也在比賽的時候想起他們與尊的共同回憶，以及要在夏季尾聲奪得冠軍的約定…,"八神陸,藤原尊",,http://mod.cht.com.tw/video/drama-details.php?id=453130,http://mod.cht.com.tw/img/iappic/453130.jpg,2017-10-06 21:56:42
卡通199-動漫,末日時可以來拯救嗎,2017-12-28,動漫館-卡通199/魔幻冒險/末日時可以來拯救嗎 動漫館-卡通199/日本連載/末日時可以來拯救嗎 ,第12話【世界上最幸福的女孩】，成群的第六獸襲擊而來，奈芙蓮、菈恩托露可與娜芙德展開迎擊。然而，面對第六獸壓倒性的數量她們漸漸地被逼上絕路。威廉也抱著負傷的身體迎戰第六獸！「即使如此，你的存在對珂朵莉來說，一定是一種救贖。」,"新井良平,田所梓",,http://mod.cht.com.tw/video/drama-details.php?id=444584,http://mod.cht.com.tw/img/iappic/444584.jpg,2017-10-06 21:56:42
卡通199-動漫,快盜天使,2017-12-28,動漫館-卡通199/魔幻冒險/快盜天使 動漫館-卡通199/日本連載/快盜天使 ,活潑開朗的天月巡與內斂沉靜的如月堇，在名為牛奶的神祕刺蝟之命令下變身為快盜天使。個性截然不同的兩人，將會如何互相合作打倒惡勢力，開拓嶄新的未來呢？「快盜天使TWIN ANGEL系列」10週年紀念動畫作品，登場！,,,http://mod.cht.com.tw/video/drama-details.php?id=445433,http://mod.cht.com.tw/img/iappic/445433.jpg,2017-10-06 21:56:42
卡通199-動漫,魔法科劣等生,2017-12-28,動漫館-卡通199/科技未來/魔法科劣等生 ,故事起源於進入魔法科高中就讀的一對親兄妹。言行舉止帶著達觀氣息的劣等生哥哥，以及愛慕哥哥之心更勝親情的優等生妹妹，從這兩人跨入這座名校校門開始，原本和平的校園，即將面臨波瀾萬丈的每一天……,,,http://mod.cht.com.tw/video/drama-details.php?id=459598,http://mod.cht.com.tw/img/iappic/459598.jpg,2017-10-06 21:56:42
