產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
單點電影,真愛每一天,2018-04-29,電影/單點電影/類型/喜劇 ,【如訂閱本片，租期內僅提供兩台機上盒於不同時間收視，第三台以上之機上盒無法以更換設備方式收視本片】姆雷克的父親在提姆21歲那年告訴了他一件秘密，就是他們家族中的男性都有穿越時光的能力。透過這個能力，提姆可以改變自己生命中正在發生以及已經發生的事情。提姆雖然在追求心儀的女孩時使用了不少次穿越時間的能力，但終究沒有成功。單身的他來到倫敦擔任律師實習生；然後他遇見了瑪麗。提姆愛上了瑪麗，而瑪麗也很喜歡提姆，但是提姆因為一次意外的時光旅行而錯過了可能認識瑪麗的時間點。從此後，提姆開始頻繁地使用自己能夠穿越時間的能,"蕾秋麥亞當斯,比爾奈伊,多姆納爾格裡森,Vanessa Kirby",,http://mod.cht.com.tw/video/movie-details.php?id=457796,http://mod.cht.com.tw/img/iappic/457796.jpg,2017-10-06 21:53:00
單點電影,妳給我記住,2018-01-11,電影/單點電影/類型/劇情 ,曾獲獨立精神獎最佳首部長片的女導演丹尼斯蒂諾威執導的懸疑愛情片。泰莎康諾維（凱瑟琳海格 飾）一直不能對她的婚姻已經走到盡頭釋懷。而她的前夫大衛（吉歐夫斯圖茲 飾）卻找到新的另一半-茱莉亞班克絲（蘿莎瑞道森 飾）高興地決定要步入禮堂。茱莉亞找到了這個夢想中的男人，而且現在是泰莎和大衛的女兒的繼母，她終於可以讓自己脫離過去的困境。但是，泰莎的羨慕轉變成病態的嫉妒 - 她決定要將茱莉亞夢寐以求的生活變成無止盡的夢魘。,"Rosario Dawson,Katherine Heigl,Geoff Stults",,http://mod.cht.com.tw/video/movie-details.php?id=452124,http://mod.cht.com.tw/img/iappic/452124.jpg,2017-10-06 21:53:00
單點電影,雙面法蘭茲,2017-11-16,隨選影片/口碑電影 電影/單點電影/類型/劇情 電影/單點電影/院線直送/院線直送 ,某日，法蘭茲墳上多了陌生花束，身為未亡人的安娜百思不解。隔日同一時間，安娜撞見秘密獻花的人，竟是俊美出奇的男子。一經查訪，男子不但來自敵對國，甚且主動上門向法蘭茲的雙親致哀。行跡詭譎的他不但沒被長輩視為「殺人兇手」，反而深得疼愛。究竟他是法蘭茲的摯友，抑或是安娜的情場勁敵？,"皮耶尼內,寶拉比爾",多螢,http://mod.cht.com.tw/video/movie-details.php?id=454619,http://mod.cht.com.tw/img/iappic/454619.jpg,2017-10-06 21:53:00
單點電影,唱吧！奇蹟！,2018-01-25,電影/單點電影/類型/劇情 電影/單點電影/院線直送/院線直送 ,『★GReeeeN真人實事ꀀ★菅田將暉主演ꀀ他們是牙醫，也是日本樂壇奇蹟，他們的音樂席捲了全日本，卻從不露臉...』JIN將樂團視為事業經營，為了出道，不惜和頑固的父親決裂而離家出走。隔年弟弟HIDE考取牙醫系，偶然拿起哥哥JIN留在家裡的吉他，沉浸在音樂世界裡不能自己的HIDE，邀同學Nabi、Kuni及Sou一起組成了GReeeeN樂團，開始了自己的創作。,"菅田將暉,松坂桃李,小林薰,忽那汐里",多螢,http://mod.cht.com.tw/video/movie-details.php?id=459272,http://mod.cht.com.tw/img/iappic/459272.jpg,2017-10-06 21:53:00
單點電影,神鬼傳奇2,2018-01-29,電影/單點電影/類型/動作 ,『★原班人馬再度回歸 ★巨石強森登場 這次不但要對付祭司印和闐，還有令人聞風喪膽的魔蠍大帝...』瑞克和艾佛琳在打敗千年木乃伊「印和闐」8年後，在倫敦定居下來，並育有一子。擁有神奇邪惡力量的木乃伊屍體從埃及被運往英國博物館，竟然復活開始施展其恐怖的魔力造成大災難。女妖怪安蘇娜姆企圖利用瑞克的兒子以轉世成為埃及女神，因此與主角展開正邪大決鬥…,"布蘭登費雪,瑞秋懷茲,約翰漢那,阿諾凡斯洛",,http://mod.cht.com.tw/video/movie-details.php?id=437146,http://mod.cht.com.tw/img/iappic/437146.jpg,2017-10-06 21:53:00
單點電影,美女與野獸2017,2017-12-29,電影/單點電影/類型/家庭 電影/單點電影/熱門排行/熱門排行 電影/單點電影/院線直送/院線直送 ,經典知名童話《美女與野獸》的真人版電影，《福爾摩斯先生》比爾坎登執導，「妙麗」艾瑪華森飾演女主角「貝兒」、丹史蒂文斯飾演「野獸」。故事講述1名年輕女孩與野獸墜入情網。,"艾瑪華森,伊旺麥奎格",,http://mod.cht.com.tw/video/movie-details.php?id=443327,http://mod.cht.com.tw/img/iappic/443327.jpg,2017-10-06 21:53:00
單點電影,我心嚮往的瓜拉尼,2018-01-11,電影/單點電影/類型/劇情 ,漁夫阿提利歐跟他的孫女伊艾拉住在一起，阿提利歐最大的願望是能有個孫子，可以讓他把瓜拉尼文化傳承下去。當阿提利歐知道伊艾拉的母親，海倫娜懷孕的時候，阿提利歐決定開著船，長途跋涉橫跨邊境著去找海倫娜。並帶著說服海倫娜將孩子生在瓜拉尼的土地上的目標前往。阿提利歐不知道的是，摩擦對生活在一起的家人來說是難以避免的：生了孩子的海倫娜的脾氣，小孩的哭鬧，以及與孫女伊艾拉的互動。伊艾拉有一天夜晚在河邊與男生擁吻的事件，讓艾提利歐發現，並與伊艾拉對質，但是正值青春叛逆脾氣的伊艾拉，強硬地回嘴，當下火冒三丈想賞孫女一巴掌的,艾密立歐貝雷托,多螢,http://mod.cht.com.tw/video/movie-details.php?id=458112,http://mod.cht.com.tw/img/iappic/458112.jpg,2017-10-06 21:53:00
單點電影,鋼鐵人3,2018-05-31,電影/單點電影/類型/動作 ,復仇者聯盟紐約戰役後，東尼史塔克陷入嚴重焦慮，他夜以繼日打造盔甲，和小辣椒之間的關係陷入緊張。神秘人物滿大人發動恐怖攻擊，東尼的保鑣身受重傷，連在馬里布海濱的住宅都被摧毀，躲過一劫的東尼流落到遙遠的小鎮，失去鋼鐵裝護身的東尼，要如何戰勝惡勢力呢？,"小勞勃道尼,葛妮絲派特洛,唐其鐸,蓋皮爾斯,班金斯利",,http://mod.cht.com.tw/video/movie-details.php?id=442314,http://mod.cht.com.tw/img/iappic/442314.jpg,2017-10-06 21:53:00
單點電影,全民戰爭,2017-11-01,電影/單點電影/類型/動作 ,兩個貪腐的新墨西哥警察與當地新勢力的黑暗喜劇,"亞歷山大斯卡加德,麥可潘納,席歐詹姆斯",,http://mod.cht.com.tw/video/movie-details.php?id=448756,http://mod.cht.com.tw/img/iappic/448756.jpg,2017-10-06 21:53:00
單點電影,異形：聖約,2019-03-05,電影/主編精選/異形 電影/單點電影/類型/驚悚 電影/單點電影/熱門排行/熱門排行 電影/單點電影/院線直送/院線直送 ,大師級導演雷利史考特繼【絕地救援】後，重返經典回歸其一手打造的科幻史詩鉅作【異形】系列，新作【異形：聖約】將直接與1979年的【異形】故事連結，故事描述殖民太空船聖約號前往浩瀚銀河中一顆遙遠的星球奧瑞加六，航程中成員發現了世人都未知的「天堂世界」，但其實這個「新世界」卻埋藏著難以想像的威脅，為了活命他們必須展開驚心動魄的逃亡旅程…。,"麥可法斯賓達,凱薩琳華特斯頓",,http://mod.cht.com.tw/video/movie-details.php?id=454177,http://mod.cht.com.tw/img/iappic/454177.jpg,2017-10-06 21:53:00
