產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
好萊塢199,醜聞 S4-21,2018-04-30,好萊塢199/類型/影集/醜聞第四季 好萊塢199/影集/醜聞第四季 ,奧利維亞和傑克乘坐私人飛機離開了華盛頓，從此不問世事。轉眼兩個月過去，他們熟悉的一切都已經改變。費茲成功連任總統，將繼續在白宮裡待四年。費茲和賽瑞斯決心盡最大努力改變政治方向，掃除一切黑暗給美國帶來正能量。梅利仍然沉浸在失去兒子的悲痛中。沒有奧莉維亞作為領袖，角鬥士團隊受到極大的影響。,"凱莉華盛頓,東尼古威,傑夫佩瑞",多螢,http://mod.cht.com.tw/video/movie-details.php?id=453510,http://mod.cht.com.tw/img/iappic/453510.jpg,2017-10-06 21:50:43
好萊塢199,復仇第三季第6集,2017-10-19,好萊塢199/類型/影集/復仇第三季 好萊塢199/影集/復仇第三季 ,維多利亞花了許多時間來陪伴失而復得的大兒子派瑞克，把所有的關愛全部放在他身上， 但派瑞克似乎沒有把母親的話聽進去，跟諾蘭越走越近。艾蜜莉持續對丹尼爾假情假意，她以為在自己的復仇計畫中，丹尼爾是最聽話的棋子，所以毫無防備地計畫著復仇的下一步…但「她」的出現，讓事情起了很大的變化！ꀀ,"艾蜜莉凡康,麥德琳史道威,蓋布瑞曼恩",多螢,http://mod.cht.com.tw/video/movie-details.php?id=416416,http://mod.cht.com.tw/img/iappic/416416.jpg,2017-10-06 21:50:43
好萊塢199,不可能的任務 3,2017-10-26,好萊塢199/類型/動作 好萊塢199/動作 好萊塢199/湯姆克魯斯 ,湯姆克魯斯再度飾演秘密探員伊森韓特。他在這部劇情出人意表、節奏快速，充滿火爆、刺激動作場面的動作驚悚鉅片之中，必須面對一名最可怕的敵人，一個喪盡天良、心狠手辣的國際軍火及情報掮客，歐文戴維恩。,湯姆克魯斯,多螢,http://mod.cht.com.tw/video/movie-details.php?id=416618,http://mod.cht.com.tw/img/iappic/416618.jpg,2017-10-06 21:50:43
好萊塢199,索拉力星,2018-01-25,好萊塢199/類型/劇情 好萊塢199/劇情 ,【本片入圍2003年美國科幻、奇幻及恐佈電影學院最佳科幻電影、最佳男主角及最佳女主角獎等獎項】「普羅米修斯」號太空船向總部回報緊急狀況並請求支援，凱文接下此次任務，展開太空旅程。當他抵達時，竟發現太空船上的太空人已有一人自殺身亡，另外兩個太空人意識不清。這一切異象，似乎源自太空船所繞行的索拉力星……。,"喬治克隆尼,娜塔莎麥克洪,傑洛米戴維斯",多螢,http://mod.cht.com.tw/video/movie-details.php?id=427940,http://mod.cht.com.tw/img/iappic/427940.jpg,2017-10-06 21:50:43
好萊塢199,童話小鎮S3-09,2017-11-30,好萊塢199/類型/影集/童話小鎮第三季 好萊塢199/影集/童話小鎮第三季 ,一波未平一波又起，來自奧茲國的威脅接踵而來，一身綠皮膚的邪惡女巫降臨童話小鎮，有可怕的飛猴任其指使，還掌握控制黑暗者朗普斯金的匕首，她逐步蒐集了勇氣、心和頭腦等象徵物，到底她的意圖為何？,"珍妮佛古德溫,珍妮佛莫瑞森,勞勃卡萊爾",多螢,http://mod.cht.com.tw/video/movie-details.php?id=423184,http://mod.cht.com.tw/img/iappic/423184.jpg,2017-10-06 21:50:43
好萊塢199,童話小鎮S2-04,2017-11-09,好萊塢199/類型/影集/童話小鎮第二季 好萊塢199/影集/童話小鎮第二季 ,在艾瑪的努力下，被詛咒的史多利布克小鎮終於打破了魔咒，小鎮上的每個人都恢復了在童話世界中的記憶。她也終於和母親白雪公主和父親白馬王子相認。看似完美的結局卻一夕之間出現變化，魯潘斯金和貝兒原本可以有情人終成眷屬，但得知貝兒被蕾吉娜囚禁了28年，為了幫貝兒報仇，他再一次把魔法帶到了史多利布克小鎮，他使用黑魔法召換出了鬼神，一但被鬼神做了記號，將會被吸取靈魂。童話世界裡的菲利普王子吻醒了被魔咒束缚的睡美人奧羅拉公主，兩人準備開始幸福的生活，可是卻遇到鬼神，菲利普為了保護奧羅拉而惨遭鬼神做了記號後失蹤，好在有好友,"珍妮佛·莫里遜,拉娜·帕瑞拉,珍妮佛古德溫",多螢,http://mod.cht.com.tw/video/movie-details.php?id=418957,http://mod.cht.com.tw/img/iappic/418957.jpg,2017-10-06 21:50:43
好萊塢199,來自星星的鄰居 S1-17,2018-04-30,好萊塢199/類型/影集/來自星星的鄰居第一季 好萊塢199/影集/來自星星的鄰居第一季 好萊塢199/本週上架 ,Marty Weaver想讓妻子和孩子們過幸福富足的生活。他花重金在私人社區買房子，社區豪華又氣派。從搬到這裡的第一天，Weaver家覺得有點不尋常。鄰居們全都有著運動明星的名字。他們不吃東西只是讀書。Weaver一家發現，整個社區除了他們以外竟然全都是來自察布隆星球外星人。,"道格瓊斯,潔美葛茲,蘭尼凡尼東",多螢,http://mod.cht.com.tw/video/movie-details.php?id=461711,http://mod.cht.com.tw/img/iappic/461711.jpg,2017-10-06 21:50:43
好萊塢199,黑幫天使 05,2017-11-10,好萊塢199/類型/影集/黑幫天使 好萊塢199/影集/黑幫天使 ,Grace是芝加哥羅斯福醫學中心的住院醫師。為了幫助遭到人身威脅的兄弟Nate還清巨額賭債，她與芝加哥南方黑幫的首領做了交易：私下為黑幫組織成員提供醫療服務，分文不取直到還清兄弟的債。於是在白天Grace頂著巨大壓力仔細研究醫學中心的每個疑難病例。夜裡必須調整心態去幫助那些為非作歹之徒。,"喬丹娜·斯皮羅,威廉福賽,詹姆斯·卡佩內羅",多螢,http://mod.cht.com.tw/video/movie-details.php?id=447852,http://mod.cht.com.tw/img/iappic/447852.jpg,2017-10-06 21:50:43
好萊塢199,他不笨，他是我爸爸,2017-11-30,好萊塢199/類型/劇情 好萊塢199/劇情 好萊塢199/本週上架 ,一個30歲卻只有七歲智商的父親，他要如何爭取七歲女兒的監護權？西恩潘挑戰《雨人》中達斯汀霍夫曼之作，獲得奧斯卡男主角提名。,"西恩潘,蜜雪兒菲佛",多螢,http://mod.cht.com.tw/video/movie-details.php?id=461716,http://mod.cht.com.tw/img/iappic/461716.jpg,2017-10-06 21:50:43
好萊塢199,百萬精先生,2018-04-30,好萊塢199/類型/喜劇 好萊塢199/本周焦點 好萊塢199/喜劇 好萊塢199/本週上架 ,『★星叭克超有種美國版 他一年間捐精高達639次，二十年後，成群兒女找上門，142個親生骨肉準備認他當爸...』和藹可親的中年大叔大衛意外發現他20年前在診所匿名捐的精子，竟然孕育出533個小孩，現在其中142名小孩打算提出訴訟要求知道生父的真實身分，大衛是否有勇氣挺身而出，迎接這142名親身骨肉？,"文斯范恩,克里斯普瑞特,布麗特妮羅伯森",多螢,http://mod.cht.com.tw/video/movie-details.php?id=461377,http://mod.cht.com.tw/img/iappic/461377.jpg,2017-10-06 21:50:43
