產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
戲劇199,架空OL日記,2018-03-08,戲劇苑-戲劇199/日劇/架空OL日記 戲劇苑-戲劇199/最新上架/全劇完載/架空OL日記 ,升野英知是一位在銀行工作、入行第五年的平凡OL，興趣是懶散地在家打電動和吃東西。英知與熱衷健身的同事真紀、女漢子前輩智子、龜毛前輩法子及天然過頭的後輩紗英組成了OL女子會，在更衣室、休息室和下班後的小酒館，進行著服飾美容、戀愛困惑、抱怨上司的日常對話，幽默道盡上班族的酸甜苦辣。,"笨蛋節奏,夏帆,臼田麻美,佐藤玲,山田真步",,http://mod.cht.com.tw/video/drama-details.php?id=461332,http://mod.cht.com.tw/img/iappic/461332.jpg,2017-10-06 21:54:32
戲劇199,任意依戀,2017-12-28,戲劇苑-戲劇199/韓劇/任意依戀 ,電視劇《永遠的愛》的拍攝現場，教堂裡，申俊英扮演的男主和女主正在教堂舉行婚禮，本應按照劇本倒地離世的申俊英卻突然大吼起來，要導演通知作家改劇本。隨後，申俊英揚長而去，只留下了錯愕的眾人和被氣得抓狂的導演。所有人都以為申俊英這樣做是因為他是一個目中無人的頂級明星，可眾人不知道的是，申俊英得了一種即使是發達的現代醫學也無法醫治的疾病，他可能只有一年的時間了。所以他很抗拒去出演以死亡為自己結局的電視劇。狂風暴雨的夜晚，電視台的編導魯乙身穿雨衣，潛伏在草叢中，為了拍攝D.L.物產的廢水非法排放，可是她不幸被排放廢,"金宇彬,秀智,林周煥,林珠銀",,http://mod.cht.com.tw/video/drama-details.php?id=431794,http://mod.cht.com.tw/img/iappic/431794.jpg,2017-10-06 21:54:32
戲劇199,破案天才伽利略2,2018-02-08,戲劇苑-戲劇199/日劇/破案天才伽利略2 ,湯川學是帝都大學理工學部物理學科的副教授。外表俊帥，運動萬能，不過卻對學問以外的事情完全不感興趣，人稱怪人伽利略。某天，發生一起墜樓身亡的案件，原因竟是某教團的教祖連崎至光(大澤隆夫飾)以送念將信徒推出窗外。為了解開謎團，接替內海薰的新人刑警岸谷美砂，到帝都大學去尋求湯川的幫助。,"福山雅治,吉高由里子",,http://mod.cht.com.tw/video/drama-details.php?id=445210,http://mod.cht.com.tw/img/iappic/445210.jpg,2017-10-06 21:54:32
戲劇199,125億的捉迷藏,2017-10-19,戲劇苑-戲劇199/韓劇/125億的捉迷藏 ,一個平凡的上班族池雲秀，某天卻中了125億的樂透頭獎！為了躲避覬覦錢財的親朋好友與同事們，必須假裝貧窮而發生的一連串爆笑故事。,"任昌丁,徐英姬,趙如晶,金俊浩,李世恩,李文植",,http://mod.cht.com.tw/video/drama-details.php?id=402221,http://mod.cht.com.tw/img/iappic/402221.jpg,2017-10-06 21:54:32
戲劇199,奔跑吧薔薇(三),2017-12-14,戲劇苑-戲劇199/韓劇/奔跑吧薔薇(三) ,敏茱講出薔薇之前懷孕又流產的事情，要求薔薇跟太子分手，受到打擊的洪女士病倒住院。成修知道承煥對絲草不懷好意，陪心情低落的絲草喝酒隔天卻發現兩人躺在同張床上。出院後的洪女士要求太子跟敏茱試著交往三個月。,"李英雅,高周元,柳鎮,鄭俊,尹周熙,李詩媛",,http://mod.cht.com.tw/video/drama-details.php?id=453419,http://mod.cht.com.tw/img/iappic/453419.jpg,2017-10-06 21:54:32
戲劇199,奇怪的搭檔,2017-12-28,戲劇苑-戲劇199/韓劇/奇怪的搭檔 ,智商與外貌共存的帥氣律師－盧智旭，捲入了一場神秘事件，而殷奉熙意外成為了事件中的重大嫌疑人，但是殷奉熙卻失去了這段時間的所有記憶，為了找出真凶，智旭和失去記憶的奉熙組成了“奇怪的搭檔”！,"池昌旭,南志鉉,崔泰俊,權娜拉,金叡園",,http://mod.cht.com.tw/video/drama-details.php?id=437426,http://mod.cht.com.tw/img/iappic/437426.jpg,2017-10-06 21:54:32
戲劇199,我家的方程式,2018-01-18,戲劇苑-戲劇199/時裝．偶像劇/我家的方程式 ,一個是樂觀的鄉下青年-徐榮源，一個則是古怪的天才宅女-姜淑媛，兩人上大學後，榮源藉各種學術研討為由，讓鑽研在圖書館與實驗室的淑媛接受他的友誼…當淑媛驚覺兩人似乎已成男女朋友時，阿源早已成她生活中不可缺的一個元素…就這樣，雞婆的內科醫生與決心將生命奉獻給真理的科學家，展開一連串誰也料想不到的生命旅程…,"莊凱勛,蔡燦得,林嘉俐,陳竹昇,童毅軍",,http://mod.cht.com.tw/video/drama-details.php?id=459027,http://mod.cht.com.tw/img/iappic/459027.jpg,2017-10-06 21:54:32
戲劇199,多謝款待(上),2018-02-08,戲劇苑-戲劇199/日劇/多謝款待(上) ,明治44（1911）年，東京的洋食店老闆之女卯野芽以子是個貪吃鬼，父親大五廚藝很好、母親阿郁很能幹，外婆阿寅則是很有智慧又明理。一日，芽以子和兒時玩伴源太等人偷吃了寺廟的紅色水果供品，從此愛上了它的味道...,"豐嶋花,原田泰造,財前直見,吉行和子,屋島昂太",,http://mod.cht.com.tw/video/drama-details.php?id=442925,http://mod.cht.com.tw/img/iappic/442925.jpg,2017-10-06 21:54:32
戲劇199,師任堂,2017-12-28,戲劇苑-戲劇199/韓劇/師任堂 ,智允跟隨指導教授閔正鶴多年，做牛做馬伺候著為要得到教授的位置，一天，閔教授將重要的新發現，安堅的金剛山圖論文交給智允，智允在研究過程中發現幾處疑點，卻仍選擇相信閔教授的判斷，智允的丈夫閔石的投資公司出了大問題被債主追上門，在萬般窘迫之際，智允為得到教授的位置，暫時捨下婆婆和兒子去到義大利參加研討會，卻被閔教授惡意開除。,"李英愛,宋承憲,楊世鍾,吳允兒",,http://mod.cht.com.tw/video/drama-details.php?id=420879,http://mod.cht.com.tw/img/iappic/420879.jpg,2017-10-06 21:54:32
戲劇199,約飯2,2018-02-01,戲劇苑-戲劇199/日劇/約飯2 ,今日主題：和美魔男律師享用有機蔬菜in銀座Ginsai。 人氣日劇第二季！「約飯」是一專欄企畫，宗旨是介紹能和女性約會的餐廳，方法是與投稿的男性單獨見面並接受追求；這次神林惠又會遇到什麼樣的男子來打動她的芳心呢？,"貫地谷栞,安藤玉惠,戶次重幸,山田裕貴,龍星涼,井上順,若葉龍也,菅原永二,浦井健治,岡田義德",,http://mod.cht.com.tw/video/drama-details.php?id=380967,http://mod.cht.com.tw/img/iappic/380967.jpg,2017-10-06 21:54:32
