產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
紀實149,寵物ER第4集,2017-11-02,紀實149/寵物天地 ,《寵物ER》透過不同寵物傷病診治的個案，帶出飼養寵物正確的知識和態度，更重要的是，還有治療過程當中的每個人，包括主人、獸醫、護士、家人…等等，希望通過展現他們的付出、抉擇和掙扎，讓無論有沒有飼養寵物的你，反思生命的價值。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=449871,http://mod.cht.com.tw/img/iappic/449871.jpg,2017-10-06 21:58:03
紀實149,廣結善緣-一個外交大使的心法(人文講堂),2018-01-04,紀實149/人物傳記 紀實149/本週推薦 ,2013年即將退休的瑞典駐台代表畢恆利，在駐台八年後，決定領取永久居留証，留在台灣。他說：也許台灣人習以為常，但我不覺得世界上的其他地方會經常有人對陌生人這麼友善。在講求個人主義與自由的環境下，很難想像台灣社會是如何形塑出這種和善待人文化？但廣結善緣的想法，確實深入著台灣的每個家庭，甚至像個護身符般，陪伴著每一位台灣的老老少少走向世界。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=461001,http://mod.cht.com.tw/img/iappic/461001.jpg,2017-10-06 21:58:03
紀實149,舞林爭霸第10集,2017-12-07,紀實149/音樂藝術 ,舞蹈真人秀節目。為專業舞者提供展示平臺，舞蹈種類涵蓋現代舞、嘻哈舞、國標舞分拉丁舞和摩登舞等舞蹈領域，為國內舞蹈愛好者提供了一個競爭、展示、交流平臺。,"金星,方俊,楊麗萍,陳小春",多螢,http://mod.cht.com.tw/video/movie-details.php?id=456942,http://mod.cht.com.tw/img/iappic/456942.jpg,2017-10-06 21:58:03
紀實149,星光好萊塢：陶比麥奎爾,2017-11-16,紀實149/人物傳記 ,【星光好萊塢】介紹了好萊塢最耀眼的巨星們私下的生活與事業。節目採訪、紅毯致詞、電影幕後隱藏花絮、首映致詞，涵蓋巨星尚未成名前的青澀樣貌到躍上頒獎台最動人的演說，【星光好萊塢】帶您一窺明星們的人生旅途。從安潔莉娜裘莉、強尼戴普、梅莉史翠普，到湯姆漢克、馬修麥康納、史嘉蕾韓森，迷人巨星風采無一遺漏。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=454432,http://mod.cht.com.tw/img/iappic/454432.jpg,2017-10-06 21:58:03
紀實149,美麗鄉村行1-誰不說俺家鄉美,2017-12-14,紀實149/風土人文 ,在貴州的東南部，有一片神奇的土地。它既是萬山青翠，川流縱橫的苗嶺主峰，又是一片掩映著成千上萬個，苗村侗寨的生態王國。今天本集，就要帶您走進貴州省黔東南苗族侗族自治州的首府，貴州凱里。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=458982,http://mod.cht.com.tw/img/iappic/458982.jpg,2017-10-06 21:58:03
紀實149,美食的誕生4,2018-01-04,紀實149/美食生活 紀實149/本週推薦 ,中國雲南省的金沙江，流入了長江，形成了人類文明。滔滔不絕的水流至今，儘管歲月流逝，而歷史轉換時期，這裡還是有人採用原始的生活方式過日子。每當時代潮流轉換時，用火烹飪出的美食，留下了歷史的指紋，我們因而獲得了文明人類的名聲。而烹飪的人類，我們的共同語言，就是火。,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=460956,http://mod.cht.com.tw/img/iappic/460956.jpg,2017-10-06 21:58:03
紀實149,地球的生成-維蘇威火山,2017-10-12,紀實149/科學探索 ,科學研究發現維蘇威火山具有較以往都強大的噴發能量。隱藏維蘇威火山之下，仍有個滿溢岩漿的空間，滾燙的石頭在其中蠢蠢欲動蓄勢待發。,,,http://mod.cht.com.tw/video/movie-details.php?id=445479,http://mod.cht.com.tw/img/iappic/445479.jpg,2017-10-06 21:58:03
紀實149,隱藏的歌手第3集,2017-10-26,紀實149/音樂藝術 ,節目中每期會有1位知名原唱歌手和7個模仿者參與，站在六扇競演門後，共分四輪演繹原唱最經典的歌曲！,,,http://mod.cht.com.tw/video/movie-details.php?id=447872,http://mod.cht.com.tw/img/iappic/447872.jpg,2017-10-06 21:58:03
紀實149,水水蘭陽(發現),2018-01-04,紀實149/在地印象 紀實149/本週推薦 ,一粒沙中看世界，一處揚塵看蘭陽溪。所謂水水蘭陽，沃土所在的水和沙息息相關，水的沖刷，沙的堆積，不妨溯源去尋找蘭陽溪何以能造就平原肥沃的原因，而在此生活的子民又如何整治河川，善用水和土，營造出他們的經濟效益，並兼顧環保需求？,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=461008,http://mod.cht.com.tw/img/iappic/461008.jpg,2017-10-06 21:58:03
紀實149,隱藏的歌手第6集,2017-11-09,紀實149/音樂藝術 ,節目中每期會有1位知名原唱歌手和10個模仿者參與，站在六扇競演門後，共分四輪演繹原唱最經典的歌曲！,,多螢,http://mod.cht.com.tw/video/movie-details.php?id=450889,http://mod.cht.com.tw/img/iappic/450889.jpg,2017-10-06 21:58:03
