產品包裝,名稱,下片日期,目錄路徑,簡介,演員,授權,連結,圖片,更新日期
電影199,唱吧！奇蹟！,2018-01-25,電影199/類型/劇情 電影199/劇情 ,『★GReeeeN真人實事ꀀ★菅田將暉主演ꀀ他們是牙醫，也是日本樂壇奇蹟，他們的音樂席捲了全日本，卻從不露臉...』JIN將樂團視為事業經營，為了出道，不惜和頑固的父親決裂而離家出走。隔年弟弟HIDE考取牙醫系，偶然拿起哥哥JIN留在家裡的吉他，沉浸在音樂世界裡不能自己的HIDE，邀同學Nabi、Kuni及Sou一起組成了GReeeeN樂團，開始了自己的創作。,"菅田將暉,松坂桃李,小林薰,忽那汐里",多螢,http://mod.cht.com.tw/video/movie-details.php?id=459271,http://mod.cht.com.tw/img/iappic/459271.jpg,2017-10-06 21:48:28
電影199,如果這世界貓消失了,2017-10-19,電影199/類型/劇情 電影199/劇情 ,『★宮崎葵、佐藤健主演 ★改編自暢銷小說 如果讓最愛的人事物消失，就能多活一天，你會願意拿甚麼來交換呢...』30歲的郵差少年（佐藤健飾），在母親過世後搬出家裡獨自居住，而陪伴在身旁的，是他養的一隻小貓。一天，少年因病就醫卻意外檢查出腦中有惡性腫瘤，青天霹靂的消息也讓他招架不住，生活似乎失去意義。此時，少年遇見一名長相跟他一模一樣的神秘男子，號稱自己是「死神」，並提出惡魔般的交易：只要少年每讓一樣東西在世界上消失，他就可以多活一天。半信半疑的少年試探性地說出希望消失的物品，沒想到馬上真的就不見了。就這樣，,"佐藤健,宮崎葵,濱田岳",多螢,http://mod.cht.com.tw/video/movie-details.php?id=420914,http://mod.cht.com.tw/img/iappic/420914.jpg,2017-10-06 21:48:28
電影199,火影忍者劇場版：最終章(國語),2017-11-16,電影199/類型/動畫 電影199/動畫 ,木葉忍者村正迎接即將到來的冬季慶典。鳴人在一樂拉麵店，與一同成長的夥伴們，歡度快樂時光。在這些人之中，悄悄編織著圍巾的雛田，至今都還沒將自己的心意傳達出去，只能在一旁默默守護著，雛田對這樣的自己感到厭惡。就在此時，一個謎樣的男子突然出現並襲擊雛田，雖然在危急之時，鳴人出手相救，但對方卻留下奇妙話語：「滅亡的命運等著你們。在那之前，雛田，我會來迎接妳」,漩渦鳴人,,http://mod.cht.com.tw/video/movie-details.php?id=361463,http://mod.cht.com.tw/img/iappic/361463.jpg,2017-10-06 21:48:28
電影199,風水逝家,2018-02-01,電影199/類型/驚悚 電影199/驚悚 電影199/本週上架 ,年少風流的赫曼與小三葛楚德偷來暗去，元配蕾娜特才剛產下稚女艾莉卡，然後…就死了。多年後，葛楚德與蕾娜特的子孫一直在爭奪家產。某日，艾莉卡終於同意簽下協議書，幸好艾莉卡的兒子約翰即時趕到，艾莉卡卻突然暴斃。當警方趕到，約翰身故的母親竟好端端地出現在案發現場，還有林家的列祖列宗全都重返人間！,"勞倫斯魯波,阿蜜拉卡薩,魯卡司米克",多螢,http://mod.cht.com.tw/video/movie-details.php?id=461637,http://mod.cht.com.tw/img/iappic/461637.jpg,2017-10-06 21:48:28
電影199,大失戀,2017-10-12,電影199/類型/愛情 電影199/愛情 ,遊樂園裡的愛情不斷誕生、滋長，時而畫下句點。城市裡的男男女女都是大戀愛的主角，交會出一段又一段無法神準盤算的感情插曲。人人都期盼現實能和電影一樣浪漫，哪一齣戀愛會圓滿收場，而哪一齣戀愛又會心碎落幕？,"菅野美穂,山口智子,瀬戸朝香,鈴木京香,森且行,西島秀俊,武田真治,中谷美紀",多螢,http://mod.cht.com.tw/video/movie-details.php?id=439509,http://mod.cht.com.tw/img/iappic/439509.jpg,2017-10-06 21:48:28
電影199,人類消失後,2018-02-15,電影199/類型/紀錄片 電影199/紀錄片 ,人類消失後，如果，明天，地球上的每個人都消失了，會發生什麼事？不是死了，只是消失。人類消失是一部驚人的故事，講述一個我們絕對無法見識到的世界。就是人類歷史停止的那一刻。故事始於我們消失的那一瞬間，終於下一個冰河世紀的開始，也就是從現今開始往後的兩萬五千年。有多少人類文明將保留下來？,JOEL喬羅賓森,多螢,http://mod.cht.com.tw/video/movie-details.php?id=413471,http://mod.cht.com.tw/img/iappic/413471.jpg,2017-10-06 21:48:28
電影199,十吋英雄,2017-10-12,電影199/類型/喜劇 電影199/喜劇 ,某日，剛大學畢業的派珀發現心理醫生諾亞的女兒很可能是自己曾拋棄的女兒，因此開始接近她。蒂許結識了外表英俊的泰德，沒想到卻是個人渣。 內向害羞的珍讓派珀陪她去見網友，但她臨陣脫逃了。普利斯特里外表叛逆卻是個完美好男人。在小小的餐館中，圍繞著這四名個性迥異的店員，發生了一系列有趣又浪漫的故事。,"西恩派翠克福納瑞,詹森艾克爾斯,約翰多伊,伊麗莎白阿爾努瓦,可莉杜瓦,丹尼爾哈里斯,艾麗絲克里奇",多螢,http://mod.cht.com.tw/video/movie-details.php?id=438392,http://mod.cht.com.tw/img/iappic/438392.jpg,2017-10-06 21:48:28
電影199,這不是色情電影,2017-10-26,電影199/類型/藝術情慾 電影199/藝術情慾 ,描述小說家兼藝術家的京子是才華備受肯定的時代寵兒，但是她每天繭居在色彩鮮艷的房間內，努力完成來自經紀人的緊密工作排程。幾乎足不出戶京子陷入永不完結的惡夢，她漸漸無法確認自己是誰？在現實與虛構的窄縫，京子過去的秘密即將被揭開。園子温監督打破電影藝術的表現極限，呈現顛覆秩序的過激美學問題。,冨手麻妙,,http://mod.cht.com.tw/video/movie-details.php?id=442191,http://mod.cht.com.tw/img/iappic/442191.jpg,2017-10-06 21:48:28
電影199,老師有問題,2017-12-07,電影199/類型/劇情 電影199/劇情 ,從新來的女教師達瑪莉初到國小，平靜的校園便陷入混亂。達瑪莉恣意羞辱學生，還威脅家長以其身分和職業，滿足自己的欲望需求，甚至引發了學生自殺事件。校長決定聯合家長連署將她趕出校園，但是達瑪莉有強大的政治勢力和社交手腕，究竟家長會為了孩子、冒著風險制伏達瑪莉，還是甘願沉默，任達瑪莉為所欲為？,"蘇珊娜莫拉利,彼得貝傑克,龔克卡薩耶",多螢,http://mod.cht.com.tw/video/movie-details.php?id=450863,http://mod.cht.com.tw/img/iappic/450863.jpg,2017-10-06 21:48:28
電影199,格雷的五十道黑影,2017-12-21,電影199/類型/喜劇 電影199/喜劇 ,21歲的女大學生憨娜因為校報的報導，而前去採訪27歲英俊的成功企業家格雷，兩人一見鍾情後展開戀情，可是不久憨娜卻逐漸發現格雷的特殊癖好，且不斷發現他不為人知的陰暗面。格雷，有著暗銅色的皮膚，是格雷黑金企業的總裁，表面上帥氣迷人又多金，其實有著不同於一般人的私生活…,"馬龍韋恩斯,卡莉杭特",,http://mod.cht.com.tw/video/movie-details.php?id=432289,http://mod.cht.com.tw/img/iappic/432289.jpg,2017-10-06 21:48:28
電影199,人妻啪啪啪,2017-11-16,電影199/類型/藝術情慾 電影199/藝術情慾 ,東哲經營一間小酒吧，在同學會上遇見了多年沒見的友貞，而時光一點也沒有在她身上留下痕跡，雖然友貞已為人妻，卻更使她散發出成熟性感的女人魅力。夜深飽滿的慾望按耐不住，東哲千方百計的追求友貞，在天雷勾動地火的現實之後，他們的情慾將如何發洩，愛戀將何去何從？,"曹仁雨,金有蓮",,http://mod.cht.com.tw/video/movie-details.php?id=364328,http://mod.cht.com.tw/img/iappic/364328.jpg,2017-10-06 21:48:28
電影199,追影,2017-11-16,電影199/類型/動作 電影199/動作 ,明末，天下大亂，黑白兩道武林高手錦衣衛、鏢頭、賊頭等為爭奪“太祖開國秘寶”藏寶圖齊聚京城，而關外第一高手葉赫長弓和來自琉球的忍者明月心各有目的來到此地。但鎮上地主少爺許三官不知天高地厚，經常欺負眾高手催租逼債，各人為隱瞞江湖身份必須忍辱負重。此時寶圖竟然意外出現，眾高手必須再度出招…,"吳鎮宇,吳佩慈,房祖名,謝娜",多螢,http://mod.cht.com.tw/video/movie-details.php?id=424983,http://mod.cht.com.tw/img/iappic/424983.jpg,2017-10-06 21:48:28
